name,address,phone
Taqueria mis tomateros,"Nogal 5306, Cd Jardin, 22610 Tijuana, B.C., Mexico",+52 664 281 0464
Salon Pedregal Eventos,"Miguel Hidalgo y Costilla, Pedregal de Santa Julia, 22604 Tijuana, B.C., Mexico",+52 664 406 8868
Tacos Alicia,"Blvd. Fundadores S/N, Valle del Rubiseccion Lomas, 22630 Tijuana, B.C., Mexico",
Tijuanazo Hipódromo,"Av. Hipódromo 126-Int. B, 9 Section, Hipodromo, 22020 Tijuana, B.C., Mexico",+52 664 681 8208
Tohoku Japanese Cuisine,"Av. Hipódromo 16, Hipodromo, 22014 Tijuana, B.C., Mexico",+52 664 686 3400
Licoreria 25,"Sonora 3809, 22020 Tijuana, B.C., Mexico",
Casa Prado,"De las Orquídeas 31, El Prado, 22105 Tijuana, B.C., Mexico",+52 664 973 9330
BIT Center,"Blvd. Gustavo Díaz Ordaz 12415, El Paraiso, 22106 Tijuana, B.C., Mexico",+52 664 380 6017
Primor Café,"C. Baburias del Mar 15, Jose Sandoval, 22105 Tijuana, B.C., Mexico",+52 664 976 6778
Cucapah,"Blvd. Cucapah 20925-Int. 1, Loma Bonita, 22200 Tijuana, B.C., Mexico",
Marabu Bar,"Blvd. Cucapah 19822, Puerta del Sol, 22207 Tijuana, B.C., Mexico",+52 664 701 6400
Choux Resposteria Fina,"Av Tecolote 19700, Amp. Guaycura, 22214 Tijuana, B.C., Mexico",+52 664 720 8378
Neptuno Restaurant,"Ruta Independencia 415, Matamoros Norte-Centro-Sur, El Aguila, 22206 Tijuana, B.C., Mexico",+52 664 773 4719
Senshi-sushi,"Ruta Vicente Guerrero 7902, Centro-Sur, Mariano Matamoros, 22234 Tijuana, B.C., Mexico",+52 664 629 5198
Malvet,"P.º Playas de Tijuana 1343, Playas de Tijuana, Jardines Playas de Tijuana, 22500 Tijuana, B.C., Mexico",+52 664 378 3428
Once Once Restaurante,"C. de la Nieve 257, Playas de Tijuana, Monumental, 22504 Tijuana, B.C., Mexico",+52 664 491 0796
domo coffee lounge,"P.º Ensenada 1953, Playas de Tijuana, Jardines del Sol, 22505 Tijuana, B.C., Mexico",
PLAYA 81,"Del Pacífico 2629, Playas de Tijuana, 22506 Tijuana, B.C., Mexico",
Café Aquamarino,"P.º Costero 1342, Playas de Tijuana, Costa, 22500 Tijuana, B.C., Mexico",
Néktar Coffee,"P.º del Pedregal 1370, Playas de Tijuana, de Tijuana, 22500 Tijuana, B.C., Mexico",+52 664 630 0440
Lavamatica Jardin,"C. Alamo 2641, Cd Jardin, 22610 Tijuana, B.C., Mexico",+52 664 821 1259
Xacalli Cocina Mexicana,"Heraclio Bernal 4503, Soler, 22530 Tijuana, B.C., Mexico",+52 664 596 9111
MUTUAL CENTER OF ZARAGOZA,"C. Salvador Díaz Mirón 4ta. 7673, Zona Centro, 22000 Tijuana, B.C., Mexico",+52 664 685 8860
The Best Bakery,"Av Constitución 1727, Zona Centro, 22055 Tijuana, B.C., Mexico",+52 664 685 2188
Tacos La Pasadita De La 20,"El Chorrito 12745, 20 de Noviembre, 22100 Tijuana, B.C., Mexico",
Once once restaurante el lago,"Av. Paseo del Lago 19603, El Lago, 22210 Tijuana, B.C., Mexico",+52 664 877 6843
Shakti Spa + Bienestar,"Av. Paseo del Lago 19621-Local 1, El Lago, 22210 Tijuana, B.C., Mexico",+52 664 756 6084
"Chicharrones de cachete ""Los de Otay Vista""","Av. los Mochis 15035, Campestre Murua, 22455 Tijuana, B.C., Mexico",+52 664 121 7943
CHAMORROS TIJUANA,"Tule 4307, Jardin Dorado, 22200 Tijuana, B.C., Mexico",+52 664 214 6805
Los Arcos Playas de Tijuana,"C. de la Nieve 115, Monumental, 22504 Tijuana, B.C., Mexico",
Mariscos Arcos Playas,"Av Del Pacifico 347, Costa, 22504 Tijuana, B.C., Mexico",+52 664 570 7094
La Cerve Del Mar,"Av Del Pacifico 445, Playas de Tijuana, Monumental, 22208 Tijuana, B.C., Mexico",+52 664 204 9304
La Molleteria,"Av Del Pacifico 653, Playas de Tijuana, Jardines Playas de Tijuana, 22504 Tijuana, B.C., Mexico",+52 664 479 4722
TacoNazo,"P.º Ensenada 712, Playas de Tijuana, Jardines Playas de Tijuana, 22500 Tijuana, B.C., Mexico",+52 664 609 9183
La Lola Restaurante,"Mar Hudson 5710, Alemán, 22050 Tijuana, B.C., Mexico",+52 664 736 8845
Carl's Jr.,"C. Culiacan 4886, Soler, 22530 Tijuana, B.C., Mexico",+52 800 732 2757
Sancochi Chicharroneria,"Calle Doce 11502-3 12 Y 13, parte baja, Libertad, 22400 Tijuana, B.C., Mexico",+52 664 932 0335
El Antojo Otay,"Alhóndiga de Granaditas 1833-interior 16, Tomas Aquino, 22414 Tijuana, B.C., Mexico",+52 664 676 6900
Teatro Cala-Fórnix,"Cuauhtémoc, Tomas Aquino, Mesa de Otay, 22414 Tijuana, B.C., Mexico",+52 646 141 7896
Churros Rellenos Estilo Jalisco,"C. Dieciseis 485, Libertad, 22400 Tijuana, B.C., Mexico",+52 664 573 5893
Los Muñecos Cenaduria -Oficial,"Ejército Nacional 98_9, Tomas Aquino, 22414 Tijuana, B.C., Mexico",+52 664 525 2656
Romero Manzo Stadium,"Alejandro Humboldt, Campos Deportivos, 22430 Tijuana, B.C., Mexico",
Issste Otay,"Felipe Villanueva 247, Nueva Tijuana, 22435 Tijuana, B.C., Mexico",+52 664 979 0468
Rancho Uribe,"1666 Sunset Ave, San Diego, CA 92154, USA",+1 619-779-1605
Blanco Brothers Ranch,"2181 Hollister St, San Diego, CA 92154, USA",+1 619-991-0793
El Rincon Restaurant,"119 W San Ysidro Blvd, San Diego, CA 92173, USA",+1 619-207-0079
Events Garden Party,"Patola 22705, Las Torres, 22470 Tijuana, B.C., Mexico",+52 664 363 6912
PANADERÍA EMMANUEL,"Buenos Aires 21428, Las Torres, 22470 Tijuana, B.C., Mexico",+52 664 861 8578
Cafecito On Palm,"1550 Palm Ave, San Diego, CA 92154, USA",+1 619-754-0158
Armando's Mexican Food,"2295 Palm Ave, San Diego, CA 92154, USA",+1 619-424-3291
